ï»¿Room ID,Name,Host ID,Neighbourhood,Room type,Room Price,Minimum nights,Number of reviews,Date last review,Number of reviews per month,Rooms rent by the host,Availibility,Updated Date,City,Country,Coordinates,Location
26910392,Sunny Balcony - Quiet courtyard - Close to city,12582105,SÃ¶dermalms,Entire home/apt,1000.0,3,10,2019-08-04,0.43,1,0,2020-06-26,Stockholm,Sweden,"59.3190435480358, 18.052290536757717","Sweden, Stockholm, SÃ¶dermalms"
26910425,Bromma eget rum med frukost,202458689,Bromma,Private room,346.0,1,7,2018-10-21,0.31,1,0,2020-06-26,Stockholm,Sweden,"59.363328580357724, 17.947574384143817","Sweden, Stockholm, Bromma"
27673892,Lovely room in the city of Stockholm,66608284,Ãstermalms,Private room,495.0,2,0,,,1,0,2020-06-26,Stockholm,Sweden,"59.33626029408919, 18.086019899377753","Sweden, Stockholm, Ãstermalms"
27969231,Lovely townhouse in Stockholm,284332,Enskede-Ãrsta-VantÃ¶rs,Entire home/apt,1502.0,7,0,,,1,0,2020-06-26,Stockholm,Sweden,"59.279857074229156, 18.04171702261269","Sweden, Stockholm, Enskede-Ãrsta-VantÃ¶rs"
28156562,Room close to Ericsson Globe and Stockholm city,212650609,Farsta,Private room,271.0,2,2,2018-12-16,0.09,1,0,2020-06-26,Stockholm,Sweden,"59.274665680168326, 18.06532358352943","Sweden, Stockholm, Farsta"
28251337,Modern apartment in quiet neighborhood,1473784,SÃ¶dermalms,Entire home/apt,1148.0,7,1,2019-08-09,0.09,1,61,2020-06-26,Stockholm,Sweden,"59.320491752525506, 18.060000908259493","Sweden, Stockholm, SÃ¶dermalms"
28355673,Two bedroom apartment in charming Birkastan,27569262,Norrmalms,Entire home/apt,2102.0,2,1,2018-09-12,0.05,1,0,2020-06-26,Stockholm,Sweden,"59.34172260306449, 18.03155730235123","Sweden, Stockholm, Norrmalms"
28528303,Mitt pÃ¥ Kungsholmen Stockholm 120 kvm mordern lgh.,210747738,Kungsholmens,Entire home/apt,25000.0,7,0,,,2,0,2020-06-26,Stockholm,Sweden,"59.3339534371736, 18.041557692693633","Sweden, Stockholm, Kungsholmens"
28598628,The Perfect City Accommodation in Central Sthlm.,28623392,Ãstermalms,Entire home/apt,1953.0,1,0,,,1,0,2020-06-26,Stockholm,Sweden,"59.34421095088322, 18.070334154565884","Sweden, Stockholm, Ãstermalms"
28745021,"Stockholm City, a big and beautiful room",189216540,Norrmalms,Private room,803.0,1,10,2019-08-12,0.51,2,364,2020-06-26,Stockholm,Sweden,"59.336683376291525, 18.03553429326009","Sweden, Stockholm, Norrmalms"
29077754,Modern 3-room studio 12 min travel from Sthlm city,21027906,HÃ¤gersten-Liljeholmens,Entire home/apt,401.0,1,0,,,1,0,2020-06-26,Stockholm,Sweden,"59.3025717277547, 17.979165217557373","Sweden, Stockholm, HÃ¤gersten-Liljeholmens"
29247775,Ljus 2:a i trevliga Kristineberg!,4774257,Kungsholmens,Entire home/apt,700.0,2,4,2020-03-20,0.22,1,88,2020-06-26,Stockholm,Sweden,"59.33564854563274, 18.002025793515564","Sweden, Stockholm, Kungsholmens"
29734053,Bright and spacious apartment Southern Stockholm,44694493,Enskede-Ãrsta-VantÃ¶rs,Entire home/apt,513.0,1,15,2020-01-02,1.06,1,269,2020-06-26,Stockholm,Sweden,"59.28677107053788, 18.03624644889736","Sweden, Stockholm, Enskede-Ãrsta-VantÃ¶rs"
30012776,LÃ¤genhet nÃ¤ra Stockholms City & Stockholms MÃ¤ssan.,216895966,Enskede-Ãrsta-VantÃ¶rs,Entire home/apt,897.0,1,1,2018-12-28,0.05,1,0,2020-06-26,Stockholm,Sweden,"59.275675282929356, 18.01868338617771","Sweden, Stockholm, Enskede-Ãrsta-VantÃ¶rs"
